variant,attempts,won
Dark Prism (5 Suits),6,1
Dark Pink (6 Suits),4,1
Light Pink & Prism (4 Suits),4,1
Rainbow & Omni (4 Suits),4,1
Dark Brown (6 Suits),2,1
Brown-Ones & Muddy Rainbow (5 Suits),2,1
Brown & Muddy Rainbow (6 Suits),2,1
Rainbow & Gray (5 Suits),2,1
Rainbow-Ones & Prism (6 Suits),2,1
Brown-Ones & Brown (4 Suits),2,1
Omni (4 Suits),2,1
Brown-Ones & Dark Rainbow (6 Suits),2,1
Pink & Null (5 Suits),2,1
Pink-Ones & Brown (4 Suits),2,1
Brown-Ones & Prism (4 Suits),1,1
Light-Pink-Ones & Pink (5 Suits),1,1
Pink-Ones & White (5 Suits),1,1
Pink & Dark Rainbow (5 Suits),1,1
Muddy-Rainbow-Ones & Brown (5 Suits),1,1
Muddy-Rainbow-Ones & Omni (5 Suits),1,1
Rainbow & Omni (6 Suits),1,1
Alternating Clues & White (4 Suits),1,1
Ambiguous & White (5 Suits),1,1
White-Ones & Rainbow (4 Suits),1,1
Omni-Ones & Brown (3 Suits),1,1
Rainbow & Gray Pink (5 Suits),1,1
Omni (6 Suits),1,1
White-Ones & Brown (5 Suits),1,1
Muddy Rainbow & Gray (5 Suits),1,1
White-Ones & Prism (3 Suits),1,1
No Variant,1,1
Null & Muddy Rainbow (6 Suits),1,1
Ambiguous (6 Suits),1,1
Reversed (4 Suits),1,1
Rainbow & Prism (3 Suits),1,1
Prism & Dark Rainbow (6 Suits),1,1
Light-Pink-Fives & Prism (6 Suits),1,1
Omni & Muddy Rainbow (5 Suits),1,1
White-Fives & Rainbow (4 Suits),1,1
4 Suits,1,1
Cow & Pig (4 Suits),1,1
Rainbow & Brown (3 Suits),1,1
Special Mix (5 Suits),22,0
Black & Brown (5 Suits),6,0
Brown-Ones & Prism (6 Suits),4,0
Brown (5 Suits),3,0
Black & Rainbow (6 Suits),3,0
Black & White (5 Suits),3,0
Cocoa Rainbow (5 Suits),3,0
Black & Omni (5 Suits),3,0
Pink & Omni (4 Suits),3,0
Light-Pink-Ones (6 Suits),3,0
Omni-Fives & Dark Rainbow (5 Suits),3,0
White & Prism (3 Suits),3,0
Pink & Prism (5 Suits),3,0
Dark Null (6 Suits),3,0
Dark Rainbow (6 Suits),2,0
Black & Light Pink (5 Suits),2,0
White-Ones & Prism (4 Suits),2,0
Black (5 Suits),2,0
Up or Down & Muddy Rainbow (5 Suits),2,0
Rainbow & Pink (6 Suits),2,0
Pink & Muddy Rainbow (6 Suits),2,0
Pink-Fives & Gray (5 Suits),2,0
White-Fives & Dark Omni (5 Suits),2,0
White & Prism (6 Suits),2,0
Omni & Gray Pink (5 Suits),2,0
Muddy Rainbow (6 Suits),2,0
Rainbow-Ones & White (6 Suits),2,0
Up or Down & Null (6 Suits),2,0
Brown & Light Pink (6 Suits),2,0
Omni & Gray Pink (6 Suits),2,0
Brown-Fives & Dark Omni (5 Suits),2,0
White & Muddy Rainbow (6 Suits),1,0
Light-Pink-Ones & Cocoa Rainbow (5 Suits),1,0
Black & Brown (6 Suits),1,0
Brown-Ones & Black (5 Suits),1,0
Alternating Clues & White (6 Suits),1,0
Rainbow-Ones & Rainbow (5 Suits),1,0
Pink & Omni (6 Suits),1,0
White Reversed (4 Suits),1,0
Brown-Ones & Pink (5 Suits),1,0
Omni & Cocoa Rainbow (6 Suits),1,0
Black & White (6 Suits),1,0
White-Ones & Black (6 Suits),1,0
Muddy Rainbow & Dark Prism (5 Suits),1,0
White & Brown (5 Suits),1,0
Null-Ones & Dark Rainbow (6 Suits),1,0
Light Pink (3 Suits),1,0
Light-Pink-Ones & Pink (3 Suits),1,0
Brown-Fives & Omni (6 Suits),1,0
Brown-Ones & Black (6 Suits),1,0
Throw It in a Hole (4 Suits),1,0
Pink-Fives & Dark Prism (6 Suits),1,0
Alternating Clues & Dark Brown (5 Suits),1,0
White-Ones & Gray (5 Suits),1,0
Rainbow & Gray (6 Suits),1,0
White-Ones & White (5 Suits),1,0
Clue Starved & Pink (6 Suits),1,0
3 Suits,1,0
Light Pink & Gray (5 Suits),1,0
Brown & Dark Prism (6 Suits),1,0
Clue Starved & Omni (6 Suits),1,0
Brown-Ones & Pink (4 Suits),1,0
Rainbow Reversed (4 Suits),1,0
Rainbow-Fives & Prism (5 Suits),1,0
Dual-Color & White (6 Suits),1,0
Ambiguous Mix,1,0
Pink & Brown (3 Suits),1,0
Dual-Color & Muddy Rainbow (6 Suits),1,0
Prism Reversed (4 Suits),1,0
Rainbow & Pink (4 Suits),1,0
Brown & Prism (4 Suits),1,0
Black Reversed (5 Suits),1,0
Pink-Ones & Dark Pink (6 Suits),1,0
White-Fives & Prism (5 Suits),1,0
Dual-Color & Dark Rainbow (6 Suits),1,0
Rainbow & Cocoa Rainbow (6 Suits),1,0
Brown & Omni (4 Suits),1,0
Rainbow & Pink (3 Suits),1,0
Dark Prism Reversed (6 Suits),1,0
Brown & Omni (5 Suits),1,0
Rainbow-Fives & Prism (4 Suits),1,0
Null-Ones & White (6 Suits),1,0
Light-Pink-Ones & Rainbow (6 Suits),1,0
White-Fives & Cocoa Rainbow (6 Suits),1,0
