variant,attempts,won
Pink & Dark Prism (6 Suits),4,1
Muddy-Rainbow-Fives & Dark Prism (6 Suits),3,1
Rainbow-Ones & Black (6 Suits),2,1
Dual-Color & Dark Brown (6 Suits),2,1
Prism & Dark Pink (6 Suits),1,1
White-Ones & Dark Prism (6 Suits),1,1
Muddy Rainbow & Dark Prism (6 Suits),1,1
Pink & Cocoa Rainbow (6 Suits),1,1
Black Reversed (6 Suits),1,1
White-Ones & Gray (6 Suits),1,1
Dual-Color & Dark Rainbow (6 Suits),1,1
Dual-Color & Dark Pink (6 Suits),1,1
Rainbow-Ones & Cocoa Rainbow (6 Suits),4,0
White & Cocoa Rainbow (6 Suits),3,0
Brown & Cocoa Rainbow (6 Suits),2,0
Black & Muddy Rainbow (6 Suits),2,0
Muddy Rainbow & Gray Pink (6 Suits),2,0
Prism & Gray Pink (6 Suits),2,0
Gray Reversed (6 Suits),2,0
White & Dark Rainbow (6 Suits),2,0
Rainbow-Fives & Gray Pink (6 Suits),2,0
Muddy Rainbow & Dark Pink (6 Suits),2,0
Pink-Ones & Black (6 Suits),2,0
Muddy-Rainbow-Ones & Gray Pink (6 Suits),1,0
Gray (6 Suits),1,0
Omni & Gray Pink (6 Suits),1,0
Pink-Fives & Dark Prism (6 Suits),1,0
Pink & Gray Pink (6 Suits),1,0
Prism & Gray (6 Suits),1,0
Ambiguous Mix,1,0
Dual-Color & Dark Prism (6 Suits),1,0
Rainbow-Fives & Dark Omni (6 Suits),1,0
