variant,attempts,won
Brown-Ones & Muddy Rainbow (5 Suits),3,1
Rainbow & White (5 Suits),3,1
White & Omni (5 Suits),3,1
Deceptive-Fives (5 Suits),2,1
Up or Down & Rainbow (5 Suits),2,1
Brown-Ones & Rainbow (5 Suits),1,1
Rainbow-Ones & Pink (5 Suits),1,1
Muddy-Rainbow-Ones & Brown (5 Suits),1,1
White & Muddy Rainbow (5 Suits),1,1
Rainbow-Ones & Omni (5 Suits),1,1
Up or Down & Prism (5 Suits),1,1
White-Fives & Muddy Rainbow (5 Suits),1,1
Pink-Ones (5 Suits),5,0
White-Ones & Muddy Rainbow (5 Suits),2,0
Brown & Prism (5 Suits),2,0
White-Fives & Prism (5 Suits),2,0
Ambiguous & Prism (5 Suits),2,0
Null-Fives & Rainbow (5 Suits),2,0
Prism (5 Suits),1,0
Muddy-Rainbow-Ones & Omni (5 Suits),1,0
Brown-Ones & Pink (5 Suits),1,0
Pink-Ones & Null (5 Suits),1,0
Rainbow & Prism (5 Suits),1,0
Pink-Fives (5 Suits),1,0
White-Fives (5 Suits),1,0
Clue Starved (5 Suits),1,0
Omni & Light Pink (5 Suits),1,0
Pink-Fives & White (5 Suits),1,0
