variant,attempts,won
Brown-Ones & Rainbow (5 Suits),4,1
Pink & Muddy Rainbow (5 Suits),1,1
White-Fives (5 Suits),1,1
Rainbow-Ones & Pink (5 Suits),1,1
Black & Pink (5 Suits),5,0
No Variant,5,0
Special Mix (5 Suits),4,0
White-Ones & Dark Omni (5 Suits),3,0
Dark Brown (5 Suits),3,0
Pink-Ones (5 Suits),2,0
Rainbow & Brown (5 Suits),2,0
Rainbow & White (5 Suits),2,0
Up or Down (5 Suits),2,0
White-Ones & Brown (5 Suits),2,0
Rainbow-Ones (5 Suits),2,0
Prism Reversed (5 Suits),2,0
Up or Down & Rainbow (5 Suits),1,0
Gray Pink (5 Suits),1,0
Rainbow-Ones & Dark Omni (5 Suits),1,0
Rainbow & Gray (5 Suits),1,0
Rainbow & Dark Prism (5 Suits),1,0
Black (5 Suits),1,0
Up or Down & Prism (5 Suits),1,0
Ambiguous & White (5 Suits),1,0
