variant,attempts,won
Brown & Dark Rainbow (6 Suits),15,1
Black & Muddy Rainbow (6 Suits),12,1
Up or Down & White (6 Suits),9,1
Omni & Dark Brown (6 Suits),7,1
White & Dark Rainbow (6 Suits),6,1
Omni & Cocoa Rainbow (6 Suits),6,1
White & Light Pink (6 Suits),6,1
Black & Brown (6 Suits),5,1
Omni & Dark Prism (6 Suits),5,1
Dark Prism Reversed (6 Suits),5,1
Dual-Color Mix,4,1
Null (6 Suits),4,1
Dark Pink (6 Suits),4,1
Alternating Clues & Black (6 Suits),4,1
Black & Pink (6 Suits),3,1
Dark Rainbow (6 Suits),3,1
White & Brown (6 Suits),3,1
Brown & Dark Pink (6 Suits),3,1
Omni & Dark Rainbow (6 Suits),3,1
Pink & Light Pink (6 Suits),3,1
Up or Down & Muddy Rainbow (6 Suits),3,1
Omni & Gray Pink (6 Suits),3,1
Muddy-Rainbow-Fives & Dark Prism (6 Suits),3,1
White Reversed (6 Suits),2,1
Pink & Omni (6 Suits),2,1
Black & Gray (6 Suits),2,1
Rainbow & Cocoa Rainbow (6 Suits),2,1
White & Dark Brown (6 Suits),2,1
Dual-Color & Pink (6 Suits),2,1
Muddy Rainbow & Gray Pink (6 Suits),2,1
Omni & Dark Pink (6 Suits),2,1
Up or Down & Pink (6 Suits),2,1
Brown & Dark Omni (6 Suits),2,1
Rainbow-Ones (6 Suits),1,1
Ambiguous (6 Suits),1,1
Prism & Dark Pink (6 Suits),1,1
Rainbow & Light Pink (6 Suits),1,1
Brown & Omni (6 Suits),1,1
White & Cocoa Rainbow (6 Suits),1,1
Omni & Prism (6 Suits),1,1
Up or Down & Brown (6 Suits),1,1
Extremely Ambiguous & Black (6 Suits),1,1
Clue Starved & Rainbow (6 Suits),1,1
Pink & Gray Pink (6 Suits),14,0
Black & Omni (6 Suits),6,0
Dual-Color & Cocoa Rainbow (6 Suits),6,0
Brown & Dark Prism (6 Suits),6,0
Clue Starved (6 Suits),5,0
Ambiguous Mix,5,0
Light Pink & Dark Prism (6 Suits),5,0
Muddy Rainbow & Dark Omni (6 Suits),5,0
Pink & Muddy Rainbow (6 Suits),4,0
Muddy Rainbow & Gray (6 Suits),4,0
Light Pink & Prism (6 Suits),3,0
White & Muddy Rainbow (6 Suits),3,0
Rainbow & Muddy Rainbow (6 Suits),3,0
Rainbow & Dark Null (6 Suits),3,0
Rainbow & Pink (6 Suits),2,0
Pink & White (6 Suits),2,0
White & Dark Omni (6 Suits),2,0
White & Omni (6 Suits),2,0
Rainbow & Dark Brown (6 Suits),2,0
Rainbow & Brown (6 Suits),2,0
Dual-Color & Gray (6 Suits),2,0
Muddy Rainbow & Dark Brown (6 Suits),2,0
Black & Null (6 Suits),2,0
Light Pink & Cocoa Rainbow (6 Suits),2,0
Pink & Dark Prism (6 Suits),2,0
Dark Pink & Dark Omni (6 Suits),2,0
Muddy Rainbow & Dark Rainbow (6 Suits),2,0
White-Fives & Brown (6 Suits),2,0
Brown & Null (6 Suits),2,0
Light Pink & Dark Brown (6 Suits),2,0
Black & Dark Pink (6 Suits),2,0
Black (6 Suits),1,0
White-Ones & Cocoa Rainbow (6 Suits),1,0
Null & Muddy Rainbow (6 Suits),1,0
Pink & Cocoa Rainbow (6 Suits),1,0
Dual-Color & Prism (6 Suits),1,0
Clue Starved & White (6 Suits),1,0
Dual-Color & Dark Rainbow (6 Suits),1,0
Dual-Color & Dark Prism (6 Suits),1,0
Brown-Ones & Pink (6 Suits),1,0
Muddy-Rainbow-Ones & Muddy Rainbow (6 Suits),1,0
Brown & Light Pink (6 Suits),1,0
Dark Rainbow Reversed (6 Suits),1,0
Brown & Gray Pink (6 Suits),1,0
