variant,attempts,won
Omni & Light Pink (6 Suits),8,1
Up or Down & Omni (6 Suits),7,1
Rainbow & Omni (6 Suits),6,1
Dual-Color (6 Suits),6,1
Pink & Omni (6 Suits),5,1
Pink & Null (6 Suits),5,1
Brown & Omni (6 Suits),5,1
White & Muddy Rainbow (6 Suits),4,1
Clue Starved & Pink (6 Suits),4,1
Pink-Ones & White (6 Suits),3,1
Dual-Color & Pink (6 Suits),2,1
Up or Down & White (6 Suits),2,1
6 Suits,2,1
Rainbow & Brown (6 Suits),1,1
Pink-Ones & Brown (6 Suits),1,1
Up or Down & Pink (6 Suits),6,0
Dual-Color & Muddy Rainbow (6 Suits),3,0
Prism (6 Suits),2,0
White & Brown (6 Suits),2,0
Rainbow & Pink (6 Suits),2,0
Ambiguous & Dual-Color,2,0
White Reversed (6 Suits),1,0
Prism Reversed (6 Suits),1,0
Rainbow-Ones & White (6 Suits),1,0
White-Ones & Rainbow (6 Suits),1,0
Pink & White (6 Suits),1,0
Dual-Color & Rainbow (6 Suits),1,0
Muddy Rainbow & Light Pink (6 Suits),1,0
Brown & Light Pink (6 Suits),1,0
Dual-Color & Light Pink (6 Suits),1,0
Up or Down & Null (6 Suits),1,0
Rainbow-Ones & Pink (6 Suits),1,0
White-Ones (6 Suits),1,0
Clue Starved & Brown (6 Suits),1,0
Up or Down & Light Pink (6 Suits),1,0
