variant,attempts,won
Brown & Dark Pink (5 Suits),21,1
Prism & Dark Omni (5 Suits),17,1
Omni & Dark Rainbow (5 Suits),11,1
Muddy Rainbow (5 Suits),10,1
Brown (5 Suits),9,1
Pink-Ones & Dark Rainbow (5 Suits),8,1
Pink & Gray Pink (5 Suits),7,1
Prism & Gray Pink (5 Suits),7,1
No Variant,7,1
Clue Starved & Rainbow (5 Suits),7,1
Omni & Light Pink (5 Suits),6,1
Prism & Cocoa Rainbow (5 Suits),6,1
Clue Starved (5 Suits),5,1
White (5 Suits),4,1
Pink (5 Suits),3,1
Brown & Light Pink (5 Suits),2,1
Muddy Rainbow & Dark Pink (5 Suits),2,1
Dual-Color (5 Suits),2,1
Prism (5 Suits),2,1
Pink & Dark Brown (5 Suits),1,1
White & Dark Omni (5 Suits),1,1
Pink-Ones (5 Suits),1,1
Pink-Ones & Prism (5 Suits),1,1
Brown-Ones & Prism (5 Suits),1,1
Muddy Rainbow & Dark Omni (5 Suits),1,1
Alternating Clues & Pink (5 Suits),1,1
Light-Pink-Fives (5 Suits),1,1
Gray Pink (5 Suits),1,1
Rainbow Reversed (5 Suits),1,1
Light Pink (5 Suits),1,1
Rainbow (5 Suits),1,1
Omni (5 Suits),1,1
Special Mix (5 Suits),15,0
Clue Starved & Prism (5 Suits),7,0
Clue Starved & White (5 Suits),6,0
Brown & Dark Rainbow (5 Suits),2,0
Omni & Dark Prism (5 Suits),1,0
Up or Down & Rainbow (5 Suits),1,0
Ambiguous & Omni (5 Suits),1,0
Null (5 Suits),1,0
