No Variant,4,1
Rainbow (5 Suits),4,1
Pink & White (5 Suits),3,1
Up or Down & Brown (5 Suits),2,1
Pink & Null (5 Suits),2,1
Deceptive-Fives (5 Suits),1,1
Pink & Muddy Rainbow (5 Suits),1,1
White & Light Pink (5 Suits),1,1
Null (5 Suits),1,1
Pink & Light Pink (5 Suits),1,1
Rainbow & Muddy Rainbow (5 Suits),1,1
Rainbow-Ones & White (5 Suits),1,1
White (5 Suits),1,1
Prism (5 Suits),1,1
Brown (5 Suits),1,1
Omni (5 Suits),1,1
Muddy Rainbow (5 Suits),1,1
Pink (5 Suits),1,1
Omni-Fives & Pink (5 Suits),5,0
Rainbow & Null (5 Suits),3,0
Clue Starved & Prism (5 Suits),2,0
Brown-Ones (5 Suits),2,0
Alternating Clues (5 Suits),2,0
Brown & Omni (5 Suits),2,0
White & Omni (5 Suits),1,0
Pink & Prism (5 Suits),1,0
Null & Muddy Rainbow (5 Suits),1,0
White-Fives & Pink (5 Suits),1,0
