Rainbow-Ones & Muddy Rainbow (5 Suits),9,1
No Variant,5,1
Pink-Ones & Light Pink (5 Suits),5,1
Deceptive-Ones (5 Suits),5,1
Pink-Ones & White (5 Suits),4,1
Rainbow (5 Suits),3,1
Omni-Fives & Prism (5 Suits),3,1
Pink (5 Suits),3,1
White-Ones (5 Suits),2,1
Pink-Ones & Brown (5 Suits),2,1
White (5 Suits),2,1
Pink & White (5 Suits),1,1
Rainbow-Ones & Rainbow (5 Suits),1,1
Rainbow-Ones & Prism (5 Suits),1,1
Brown-Ones & White (5 Suits),1,1
Brown-Ones (5 Suits),1,1
Rainbow-Fives & Pink (5 Suits),1,1
White-Fives (5 Suits),1,1
Prism (5 Suits),1,1
Omni (5 Suits),3,0
Light Pink & Dark Rainbow (5 Suits),1,0
Brown-Ones & Pink (5 Suits),1,0
Light Pink (5 Suits),1,0
Brown (5 Suits),1,0
