variant,attempts,won
Black (6 Suits),18,1
Rainbow (6 Suits),10,1
6 Suits,8,1
Color Blind (6 Suits),4,1
Brown (6 Suits),2,1
No Variant,1,1
Pink (5 Suits),1,1
Dark Rainbow (6 Suits),54,0
Black & Dark Rainbow (6 Suits),9,0
Up or Down (5 Suits),8,0
Rainbow (5 Suits),7,0
Reversed (6 Suits),6,0
4 Suits,4,0
Dual-Color (6 Suits),3,0
Pink-Fives & Rainbow (6 Suits),2,0
Black & Rainbow (5 Suits),2,0
Up or Down (6 Suits),1,0
Rainbow & Brown (6 Suits),1,0
Brown (4 Suits),1,0
Dark Brown (6 Suits),1,0
Dark Null (6 Suits),1,0
Rainbow & Pink (4 Suits),1,0
White & Dark Omni (6 Suits),1,0
