Rainbow & Pink (5 Suits),9,1
White Reversed (5 Suits),7,1
Muddy Rainbow (5 Suits),6,1
Up or Down & White (5 Suits),6,1
Light Pink (5 Suits),6,1
No Variant,3,1
Rainbow & White (5 Suits),3,1
Alternating Clues (5 Suits),2,1
White-Ones & Muddy Rainbow (5 Suits),2,1
Pink & White (5 Suits),1,1
Throw It in a Hole (5 Suits),7,0
Rainbow & Omni (5 Suits),7,0
Number Mute (5 Suits),6,0
Up or Down & Pink (5 Suits),6,0
Reversed (5 Suits),5,0
Brown (5 Suits),2,0
Light-Pink-Ones & White (5 Suits),2,0
Clue Starved (5 Suits),1,0
Up or Down & Rainbow (5 Suits),1,0
