variant,attempts,won
Null (6 Suits),15,1
Light Pink (6 Suits),10,1
Omni (6 Suits),9,1
White-Ones & Pink (6 Suits),7,1
Pink & White (6 Suits),6,1
Pink & Muddy Rainbow (6 Suits),6,1
Muddy Rainbow (6 Suits),5,1
White-Ones & White (6 Suits),5,1
Dual-Color (6 Suits),5,1
White-Ones & Omni (6 Suits),5,1
Rainbow & Omni (6 Suits),4,1
Rainbow & Light Pink (6 Suits),4,1
Rainbow (6 Suits),3,1
White (6 Suits),3,1
Brown (6 Suits),3,1
Pink & Omni (6 Suits),3,1
White-Ones (6 Suits),2,1
Ambiguous (6 Suits),2,1
White-Ones & Brown (6 Suits),2,1
Rainbow & Pink (6 Suits),2,1
Rainbow & White (6 Suits),2,1
Rainbow & Prism (6 Suits),2,1
White-Ones & Muddy Rainbow (6 Suits),2,1
Pink & Brown (6 Suits),2,1
Pink & Prism (6 Suits),2,1
Pink (6 Suits),1,1
White-Ones & Rainbow (6 Suits),1,1
Prism (6 Suits),1,1
Rainbow & Brown (6 Suits),1,1
White-Ones & Prism (6 Suits),1,1
Rainbow & Muddy Rainbow (6 Suits),1,1
White-Ones & Light Pink (6 Suits),1,1
Up or Down (6 Suits),1,1
Pink & Light Pink (6 Suits),1,1
Up or Down & Rainbow (6 Suits),8,0
Throw It in a Hole & Light Pink (6 Suits),1,0
Up or Down & Pink (6 Suits),1,0
