Deceptive-Ones (5 Suits),8,1
Rainbow & Light Pink (5 Suits),8,1
Black & Prism (5 Suits),4,1
Null-Ones (5 Suits),3,1
Black Reversed (5 Suits),3,1
Cocoa Rainbow (5 Suits),3,1
Muddy Rainbow (5 Suits),2,1
Deceptive-Ones & White (5 Suits),2,1
Rainbow & Gray (5 Suits),2,1
Brown (5 Suits),1,1
Alternating Clues (5 Suits),1,1
Gray (5 Suits),1,1
Rainbow & Omni (5 Suits),1,1
Black & Null (5 Suits),15,0
Black (5 Suits),12,0
Black & Muddy Rainbow (5 Suits),8,0
Deceptive-Fives (5 Suits),2,0
Omni-Ones (5 Suits),2,0
White (5 Suits),1,0
Dark Rainbow (5 Suits),1,0
Rainbow & Muddy Rainbow (5 Suits),1,0
