variant,attempts,won
Black & White (5 Suits),20,1
Black (6 Suits),19,1
No Variant,13,1
Dark Null (6 Suits),13,1
Black & Muddy Rainbow (5 Suits),13,1
Pink (6 Suits),12,1
Black & Pink (6 Suits),10,1
White & Light Pink (6 Suits),10,1
Prism Reversed (5 Suits),9,1
Rainbow & Brown (6 Suits),9,1
Omni (6 Suits),8,1
White & Prism (6 Suits),8,1
Black & White (6 Suits),7,1
Black & Light Pink (5 Suits),7,1
Brown (3 Suits),6,1
Prism (3 Suits),6,1
Dark Prism (5 Suits),6,1
Rainbow & Gray (6 Suits),6,1
Rainbow & White (6 Suits),5,1
Rainbow (6 Suits),4,1
Rainbow & White (5 Suits),4,1
White (4 Suits),4,1
White (3 Suits),4,1
Null (6 Suits),4,1
Null (4 Suits),4,1
Alternating Clues (5 Suits),4,1
Gray (6 Suits),4,1
6 Suits,3,1
White (5 Suits),3,1
Light Pink (6 Suits),3,1
Muddy Rainbow (6 Suits),3,1
Black (5 Suits),3,1
Omni-Fives (5 Suits),3,1
Rainbow (3 Suits),3,1
Pink & Prism (5 Suits),3,1
3 Suits,2,1
4 Suits,2,1
White & Prism (5 Suits),2,1
Rainbow-Fives (6 Suits),2,1
Cocoa Rainbow (5 Suits),2,1
Black & Brown (5 Suits),2,1
Rainbow-Ones & Black (6 Suits),2,1
Black & Light Pink (6 Suits),2,1
Rainbow & White (4 Suits),1,1
Muddy Rainbow (4 Suits),1,1
Rainbow & Prism (5 Suits),1,1
Rainbow-Fives (5 Suits),1,1
Muddy-Rainbow-Fives (5 Suits),1,1
White-Fives (5 Suits),1,1
Reversed (4 Suits),1,1
Rainbow (5 Suits),1,1
Rainbow (4 Suits),1,1
Rainbow & Light Pink (5 Suits),1,1
Dark Rainbow (6 Suits),30,0
Omni (3 Suits),22,0
Dark Omni (6 Suits),22,0
Up or Down (6 Suits),14,0
Rainbow & Cocoa Rainbow (6 Suits),13,0
Null (5 Suits),12,0
Special Mix (5 Suits),10,0
Null-Fives (5 Suits),8,0
Black & Omni (6 Suits),8,0
Null-Ones (5 Suits),6,0
Dark Prism (6 Suits),6,0
Dark Pink (6 Suits),5,0
Omni-Fives (4 Suits),5,0
Black & Muddy Rainbow (6 Suits),5,0
Black & Gray (6 Suits),4,0
Rainbow-Fives & White (6 Suits),3,0
Omni-Ones (5 Suits),3,0
White & Brown (5 Suits),2,0
Pink & White (5 Suits),2,0
Rainbow & Omni (6 Suits),2,0
Duck (5 Suits),1,0
Rainbow & Prism (4 Suits),1,0
