variant,attempts,won
Brown & Dark Rainbow (6 Suits),12,1
Omni & Dark Prism (6 Suits),5,1
Brown (6 Suits),3,1
Special Mix (6 Suits),3,1
Rainbow & Dark Brown (6 Suits),3,1
Omni & Gray Pink (6 Suits),3,1
Up or Down & Pink (5 Suits),3,1
White Reversed (6 Suits),2,1
Rainbow & Pink (5 Suits),2,1
Rainbow & Muddy Rainbow (6 Suits),2,1
White-Fives & Pink (6 Suits),2,1
Omni & Light Pink (4 Suits),2,1
White & Null (5 Suits),1,1
Clue Starved & Rainbow (5 Suits),1,1
Up or Down & Omni (6 Suits),1,1
Omni & Dark Brown (6 Suits),1,1
Light Pink (5 Suits),1,1
Brown & Dark Omni (6 Suits),1,1
White & Muddy Rainbow (5 Suits),1,1
Rainbow & Dark Omni (5 Suits),1,1
Black & Null (5 Suits),16,0
White-Fives & Null (3 Suits),7,0
Muddy Rainbow & Dark Brown (5 Suits),5,0
Rainbow & Dark Null (6 Suits),5,0
Black & Dark Pink (6 Suits),5,0
Up or Down & Light Pink (5 Suits),5,0
Rainbow & Null (6 Suits),4,0
Muddy Rainbow & Dark Omni (6 Suits),4,0
Brown & Cocoa Rainbow (5 Suits),4,0
No Variant,3,0
Black & Muddy Rainbow (5 Suits),3,0
Rainbow & Gray Pink (5 Suits),3,0
Light Pink & Dark Prism (6 Suits),2,0
Brown & Null (6 Suits),2,0
Rainbow & Null (5 Suits),1,0
Rainbow & Light Pink (5 Suits),1,0
Null & Dark Brown (6 Suits),1,0
Rainbow & Dark Pink (6 Suits),1,0
Pink-Fives & Omni (6 Suits),1,0
Alternating Clues & Rainbow (6 Suits),1,0
White & Dark Prism (5 Suits),1,0
Rainbow & Gray Pink (6 Suits),1,0
