variant,attempts,won
Up or Down & Pink (5 Suits),3,1
Rainbow & Pink (5 Suits),2,1
White & Null (5 Suits),1,1
Clue Starved & Rainbow (5 Suits),1,1
Light Pink (5 Suits),1,1
White & Muddy Rainbow (5 Suits),1,1
Rainbow & Dark Omni (5 Suits),1,1
Black & Null (5 Suits),16,0
Muddy Rainbow & Dark Brown (5 Suits),5,0
Up or Down & Light Pink (5 Suits),5,0
Brown & Cocoa Rainbow (5 Suits),4,0
No Variant,3,0
Black & Muddy Rainbow (5 Suits),3,0
Rainbow & Gray Pink (5 Suits),3,0
Rainbow & Null (5 Suits),1,0
Rainbow & Light Pink (5 Suits),1,0
White & Dark Prism (5 Suits),1,0
