variant,attempts,won
Gray (6 Suits),37,1
Dark Pink (6 Suits),20,1
Dark Brown (6 Suits),17,1
White-Ones & Brown (6 Suits),14,1
Extremely Ambiguous (6 Suits),14,1
Black & Brown (6 Suits),7,1
Dual-Color & Brown (6 Suits),6,1
Rainbow & Dark Brown (6 Suits),6,1
Omni (6 Suits),5,1
Ambiguous (6 Suits),5,1
Dual-Color & Rainbow (6 Suits),5,1
Dual-Color & Pink (6 Suits),5,1
Black & Muddy Rainbow (6 Suits),5,1
Pink & Omni (6 Suits),5,1
Null-Ones (6 Suits),4,1
Dual-Color & Black (6 Suits),4,1
Dual-Color & Prism (6 Suits),4,1
Rainbow & Pink (6 Suits),3,1
Dual-Color & Light Pink (6 Suits),2,1
Null (6 Suits),1,1
Rainbow & Null (6 Suits),1,1
Light Pink (6 Suits),1,1
Dark Omni (6 Suits),1,1
Rainbow & Brown (6 Suits),1,1
Pink (6 Suits),2,0
