Up or Down & Omni (6 Suits),4,1
Rainbow & Light Pink (6 Suits),3,1
Rainbow & Pink (6 Suits),3,1
Prism (6 Suits),2,1
Light-Pink-Ones & White (6 Suits),1,1
Ambiguous (6 Suits),1,1
Rainbow-Ones & Brown (6 Suits),1,1
Pink & Muddy Rainbow (6 Suits),1,1
Brown & Light Pink (6 Suits),1,1
Pink & Brown (6 Suits),3,0
Omni-Ones & Rainbow (6 Suits),2,0
Rainbow-Fives & Light Pink (6 Suits),2,0
Rainbow & Omni (6 Suits),2,0
Muddy Rainbow (6 Suits),2,0
White & Prism (6 Suits),2,0
Rainbow-Ones & Rainbow (6 Suits),2,0
White-Ones & Pink (6 Suits),2,0
Clue Starved & Prism (6 Suits),2,0
Brown (6 Suits),1,0
White-Ones & Rainbow (6 Suits),1,0
Up or Down & Prism (6 Suits),1,0
Rainbow & Null (6 Suits),1,0
Pink & Light Pink (6 Suits),1,0
