variant,attempts,won
Cocoa Rainbow (5 Suits),6,1
Rainbow & Pink (5 Suits),4,1
Rainbow & Omni (5 Suits),4,1
Pink (5 Suits),3,1
Omni (5 Suits),3,1
Brown & Prism (5 Suits),3,1
Rainbow (5 Suits),3,1
Rainbow & Light Pink (5 Suits),3,1
White-Ones & Brown (5 Suits),2,1
Rainbow-Ones & Light Pink (5 Suits),2,1
White & Brown (5 Suits),2,1
Rainbow & Muddy Rainbow (5 Suits),2,1
No Variant,1,1
Pink-Ones & Brown (5 Suits),1,1
Prism (5 Suits),1,1
Rainbow-Ones & White (5 Suits),1,1
Special Mix (5 Suits),12,0
Dark Pink (5 Suits),8,0
Dark Rainbow (5 Suits),5,0
Black & Light Pink (5 Suits),4,0
Clue Starved & Prism (5 Suits),4,0
Dark Prism (5 Suits),3,0
Rainbow & Cocoa Rainbow (5 Suits),2,0
Omni-Ones & Rainbow (5 Suits),2,0
Pink & Dark Prism (5 Suits),2,0
Omni-Ones & Brown (5 Suits),2,0
Rainbow-Ones & Black (5 Suits),2,0
Up or Down & Light Pink (5 Suits),2,0
Rainbow & Prism (5 Suits),2,0
Rainbow & Dark Omni (5 Suits),2,0
Rainbow & Dark Prism (5 Suits),2,0
White & Dark Pink (5 Suits),2,0
White (5 Suits),1,0
Dual-Color (5 Suits),1,0
Black & Null (5 Suits),1,0
White & Dark Prism (5 Suits),1,0
Clue Starved & White (5 Suits),1,0
Clue Starved & Brown (5 Suits),1,0
Rainbow-Fives & Brown (5 Suits),1,0
Brown-Fives & Dark Rainbow (5 Suits),1,0
Brown-Fives & White (5 Suits),1,0
Muddy Rainbow (5 Suits),1,0
Dark Brown (5 Suits),1,0
Up or Down & Omni (5 Suits),1,0
Ambiguous & Omni (5 Suits),1,0
Pink & Brown (5 Suits),1,0
Rainbow-Ones & Dark Pink (5 Suits),1,0
Pink & Light Pink (5 Suits),1,0
Rainbow-Ones & Rainbow (5 Suits),1,0
