variant,attempts,won
Muddy Rainbow & Gray (5 Suits),6,1
Clue Starved & White (5 Suits),6,1
Up or Down & Rainbow (5 Suits),5,1
Rainbow & White (5 Suits),5,1
Brown & Muddy Rainbow (5 Suits),5,1
Pink & Prism (6 Suits),4,1
Brown & Prism (5 Suits),3,1
Null-Ones (6 Suits),2,1
Totally Blind (5 Suits),2,1
Brown-Ones (4 Suits),2,1
No Variant,1,1
Rainbow (5 Suits),1,1
Dark Omni (5 Suits),1,1
Totally Blind (4 Suits),1,1
White-Ones (6 Suits),1,1
Throw It in a Hole & Omni (4 Suits),1,1
Throw It in a Hole & Prism (4 Suits),1,1
Rainbow & Dark Null (6 Suits),13,0
Clue Starved & Rainbow (6 Suits),12,0
Duck (4 Suits),7,0
Omni-Fives & Omni (6 Suits),7,0
Rainbow & Muddy Rainbow (4 Suits),6,0
Pink & Null (3 Suits),6,0
Ambiguous Mix,5,0
White & Muddy Rainbow (3 Suits),4,0
Deceptive-Fives (6 Suits),4,0
Black & Dark Rainbow (6 Suits),3,0
Dark Prism (6 Suits),3,0
Clue Starved & Prism (5 Suits),3,0
Pink-Ones (6 Suits),2,0
Pink & Cocoa Rainbow (5 Suits),2,0
Pink-Ones & Pink (5 Suits),2,0
Throw It in a Hole & Prism (6 Suits),2,0
Up or Down & Pink (5 Suits),1,0
Dark Brown (5 Suits),1,0
White & Null (3 Suits),1,0
Null-Ones (5 Suits),1,0
Special Mix (5 Suits),1,0
Totally Blind (3 Suits),1,0
Rainbow-Ones & Rainbow (6 Suits),1,0
Brown-Ones & Omni (6 Suits),1,0
White & Null (6 Suits),1,0
White & Prism (3 Suits),1,0
Throw It in a Hole & Light Pink (5 Suits),1,0
Cow & Pig (6 Suits),1,0
