variant,attempts,won
Black & Null (6 Suits),13,1
Black & Brown (6 Suits),6,1
Muddy Rainbow (6 Suits),3,1
White & Dark Rainbow (6 Suits),3,1
White (6 Suits),3,1
Pink & Brown (6 Suits),2,1
Gray (6 Suits),1,1
Null (6 Suits),1,1
Dark Prism (6 Suits),1,1
Pink & Dark Rainbow (6 Suits),10,0
Black & Rainbow (6 Suits),6,0
Black & Muddy Rainbow (6 Suits),6,0
Brown (6 Suits),5,0
Rainbow & Dark Pink (6 Suits),5,0
Black & White (6 Suits),4,0
Pink & Gray (6 Suits),4,0
Cocoa Rainbow (6 Suits),4,0
Light Pink (6 Suits),3,0
Number Blind (6 Suits),2,0
Dark Brown (6 Suits),2,0
Dark Null (6 Suits),2,0
Pink & Null (6 Suits),2,0
Rainbow & Muddy Rainbow (6 Suits),2,0
Totally Blind (6 Suits),1,0
Dark Pink (6 Suits),1,0
Up or Down & Pink (6 Suits),1,0
Pink-Ones & Dark Rainbow (6 Suits),1,0
Dark Prism Reversed (6 Suits),1,0
Deceptive-Ones (6 Suits),1,0
Clue Starved & Pink (6 Suits),1,0
