Pink & Brown (6 Suits),3,1
Up or Down & Pink (6 Suits),3,1
Pink & Prism (6 Suits),3,1
Muddy Rainbow (6 Suits),2,1
Up or Down (6 Suits),2,1
Throw It in a Hole (6 Suits),2,1
Muddy-Rainbow-Fives (6 Suits),2,1
Light Pink (6 Suits),1,1
Null (6 Suits),1,1
Pink & Omni (6 Suits),1,1
Pink & Null (6 Suits),1,1
Rainbow & Omni (6 Suits),5,0
Prism (6 Suits),3,0
Brown (6 Suits),2,0
Color Mute (6 Suits),2,0
Pink (6 Suits),1,0
Totally Blind (6 Suits),1,0
Ambiguous & Dual-Color,1,0
Number Blind (6 Suits),1,0
Dual-Color & Brown (6 Suits),1,0
Up or Down & Prism (6 Suits),1,0
