variant,attempts,won
No Variant,3,1
Pink-Fives & Rainbow (5 Suits),3,1
Brown (5 Suits),2,1
Clue Starved (5 Suits),2,1
Rainbow (5 Suits),1,1
Ambiguous & Rainbow (5 Suits),1,1
Rainbow-Ones (5 Suits),1,1
Rainbow & Omni (5 Suits),1,1
Rainbow Reversed (5 Suits),1,1
White Reversed (5 Suits),1,1
Rainbow & Null (5 Suits),4,0
Pink & Omni (5 Suits),3,0
Up or Down & White (5 Suits),2,0
Pink (5 Suits),2,0
Light Pink (5 Suits),1,0
Alternating Clues (5 Suits),1,0
Up or Down (5 Suits),1,0
White & Muddy Rainbow (5 Suits),1,0
