No Variant,10,1
Clue Starved (5 Suits),2,1
Brown (5 Suits),2,1
White-Ones & Pink (5 Suits),2,1
Rainbow & Omni (5 Suits),2,1
Omni (5 Suits),2,1
Rainbow & White (5 Suits),1,1
Muddy Rainbow (5 Suits),1,1
Prism (5 Suits),1,1
White & Brown (5 Suits),1,1
White & Muddy Rainbow (5 Suits),1,1
Omni-Ones & Brown (5 Suits),2,0
Clue Starved & Rainbow (5 Suits),2,0
Up or Down (5 Suits),1,0
Clue Starved & White (5 Suits),1,0
Clue Starved & Brown (5 Suits),1,0
Brown-Fives & White (5 Suits),1,0
Rainbow & Prism (5 Suits),1,0
Muddy Rainbow & Prism (5 Suits),1,0
