Rainbow (5 Suits),11,1
No Variant,10,1
Rainbow (6 Suits),5,1
Rainbow (4 Suits),2,1
White (6 Suits),2,1
Pink (5 Suits),1,1
6 Suits,1,1
Clue Starved (6 Suits),1,1
Brown (5 Suits),1,1
4 Suits,1,1
Black (6 Suits),30,0
Black & Rainbow (6 Suits),14,0
Black (5 Suits),11,0
Up or Down (5 Suits),6,0
Special Mix (5 Suits),6,0
Dark Pink (6 Suits),5,0
3 Suits,4,0
Up or Down (6 Suits),3,0
Muddy Rainbow (4 Suits),3,0
Black & Rainbow (5 Suits),2,0
Ambiguous Mix,2,0
Light Pink (5 Suits),2,0
Black & White (6 Suits),2,0
Dark Prism (6 Suits),2,0
Prism (6 Suits),2,0
Throw It in a Hole (5 Suits),1,0
Dual-Color (6 Suits),1,0
Light Pink & Dark Pink (6 Suits),1,0
Null (5 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
Light Pink (6 Suits),1,0
