variant,attempts,won
White & Muddy Rainbow (5 Suits),2,1
Brown & Omni (5 Suits),1,1
Rainbow-Ones & Pink (5 Suits),1,1
Pink & Light Pink (5 Suits),1,1
No Variant,20,0
Brown & Muddy Rainbow (5 Suits),4,0
Clue Starved & Prism (5 Suits),4,0
Rainbow & Prism (5 Suits),3,0
Prism (5 Suits),2,0
Extremely Ambiguous (5 Suits),2,0
Rainbow-Ones & Rainbow (5 Suits),2,0
Up or Down & Light Pink (5 Suits),2,0
Ambiguous & Omni (5 Suits),1,0
Muddy-Rainbow-Fives & Prism (5 Suits),1,0
Pink & Brown (5 Suits),1,0
Omni & Null (5 Suits),1,0
Null (5 Suits),1,0
Omni & Prism (5 Suits),1,0
Muddy Rainbow (5 Suits),1,0
Rainbow-Fives & Prism (5 Suits),1,0
