variant,attempts,won
Rainbow (5 Suits),9,1
Rainbow & Prism (4 Suits),4,1
Reversed (5 Suits),3,1
Pink (5 Suits),3,1
White-Ones & Brown (5 Suits),2,1
Pink-Ones & Omni (5 Suits),2,1
Muddy Rainbow & Prism (6 Suits),2,1
No Variant,1,1
Rainbow (6 Suits),1,1
Clue Starved (5 Suits),1,1
White-Fives & Brown (5 Suits),1,1
Light Pink (5 Suits),1,1
Brown-Ones (6 Suits),1,1
Dual-Color Mix,1,1
Brown (4 Suits),1,1
White & Omni (6 Suits),1,1
Special Mix (5 Suits),33,0
Pink & Dark Prism (5 Suits),5,0
Omni-Ones & Rainbow (5 Suits),4,0
Dark Pink (5 Suits),4,0
White-Ones & Omni (5 Suits),3,0
Duck (5 Suits),3,0
Black (6 Suits),3,0
Up or Down (6 Suits),3,0
Muddy Rainbow (5 Suits),3,0
Pink-Ones & Black (5 Suits),3,0
Rainbow & Light Pink (5 Suits),3,0
Up or Down & Light Pink (5 Suits),3,0
Up or Down & Pink (6 Suits),3,0
Pink & Gray (5 Suits),3,0
Rainbow & Dark Brown (6 Suits),3,0
Dark Rainbow (6 Suits),2,0
Dark Omni (6 Suits),2,0
Pink (6 Suits),2,0
Pink-Ones & White (5 Suits),2,0
Clue Starved (6 Suits),2,0
White (4 Suits),2,0
Omni (5 Suits),2,0
Cocoa Rainbow (6 Suits),2,0
Rainbow & Pink (6 Suits),2,0
White & Prism (6 Suits),2,0
Brown (6 Suits),2,0
Rainbow-Ones (4 Suits),2,0
Up or Down & Rainbow (6 Suits),2,0
White & Null (6 Suits),2,0
Rainbow & Prism (5 Suits),2,0
Special Mix (6 Suits),2,0
Up or Down & Brown (6 Suits),2,0
Prism (5 Suits),2,0
Light Pink & Prism (6 Suits),2,0
White-Ones & Black (6 Suits),1,0
Black & Rainbow (6 Suits),1,0
Muddy-Rainbow-Fives & Rainbow (4 Suits),1,0
Rainbow-Fives & Black (6 Suits),1,0
Throw It in a Hole (4 Suits),1,0
White Reversed (5 Suits),1,0
Pink-Fives & Muddy Rainbow (5 Suits),1,0
Black Reversed (5 Suits),1,0
Rainbow & Null (5 Suits),1,0
Pink & White (4 Suits),1,0
Up or Down (5 Suits),1,0
Dark Prism (6 Suits),1,0
White (5 Suits),1,0
Rainbow & Light Pink (4 Suits),1,0
Gray (5 Suits),1,0
Muddy Rainbow & Gray (5 Suits),1,0
Pink & Brown (6 Suits),1,0
Dark Rainbow (5 Suits),1,0
Rainbow & Omni (5 Suits),1,0
Dark Prism (5 Suits),1,0
Rainbow & Brown (4 Suits),1,0
Dark Brown (6 Suits),1,0
Rainbow & Dark Pink (5 Suits),1,0
Muddy Rainbow & Dark Pink (6 Suits),1,0
Black & Pink (6 Suits),1,0
Rainbow & Dark Prism (6 Suits),1,0
Omni & Dark Rainbow (6 Suits),1,0
Black & Rainbow (5 Suits),1,0
Pink-Fives & White (6 Suits),1,0
