variant,attempts,won
Up or Down (6 Suits),8,1
Rainbow (6 Suits),7,1
White (3 Suits),5,1
Black (5 Suits),5,1
White & Omni (5 Suits),5,1
Dark Brown (6 Suits),4,1
3 Suits,4,1
Gray (5 Suits),4,1
Muddy Rainbow (5 Suits),4,1
Brown (6 Suits),3,1
Light Pink (5 Suits),3,1
Up or Down & Pink (5 Suits),3,1
6 Suits,2,1
4 Suits,2,1
Up or Down (5 Suits),2,1
White (5 Suits),2,1
Black (6 Suits),2,1
Muddy Rainbow (6 Suits),2,1
White & Dark Pink (6 Suits),2,1
Dark Brown (5 Suits),2,1
No Variant,1,1
Pink (4 Suits),1,1
Black & Brown (6 Suits),1,1
Null (6 Suits),1,1
Rainbow-Ones (5 Suits),1,1
Black & Pink (6 Suits),1,1
Rainbow-Ones (4 Suits),1,1
Dual-Color (6 Suits),1,1
White & Omni (4 Suits),1,1
Rainbow-Ones & Pink (5 Suits),1,1
Ambiguous & White (5 Suits),1,1
Brown & Gray (6 Suits),1,1
Rainbow-Ones & White (3 Suits),1,1
Omni-Fives & Muddy Rainbow (5 Suits),1,1
Rainbow-Fives & Gray (5 Suits),1,1
Dark Rainbow (6 Suits),1,1
Omni (5 Suits),1,1
Black & Omni (6 Suits),1,1
White-Ones & White (5 Suits),1,1
Black & Light Pink (5 Suits),1,1
Black & Null (5 Suits),9,0
Rainbow & Null (4 Suits),8,0
Cocoa Rainbow (6 Suits),6,0
Rainbow & Null (5 Suits),4,0
Dual-Color Mix,4,0
Black & White (6 Suits),4,0
Rainbow (5 Suits),3,0
Brown (5 Suits),3,0
Cocoa Rainbow (5 Suits),3,0
Black & Muddy Rainbow (6 Suits),3,0
Black & Rainbow (6 Suits),2,0
Brown (3 Suits),2,0
Pink & Brown (6 Suits),2,0
Number Mute (4 Suits),2,0
Pink & Dark Rainbow (6 Suits),2,0
Rainbow & Light Pink (6 Suits),2,0
White & Light Pink (5 Suits),2,0
Rainbow & White (6 Suits),2,0
Dark Null (6 Suits),2,0
Pink (5 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
Pink & White (5 Suits),1,0
Cow & Pig (4 Suits),1,0
Pink & Omni (4 Suits),1,0
White & Dark Brown (6 Suits),1,0
White Reversed (4 Suits),1,0
