variant,attempts,won
Null (3 Suits),8,1
Null-Ones & Null (3 Suits),7,1
Light Pink (3 Suits),5,1
White & Omni (3 Suits),5,1
Muddy Rainbow (3 Suits),3,1
Rainbow & Null (3 Suits),3,1
Pink & Omni (3 Suits),2,1
Pink (3 Suits),1,1
Brown (3 Suits),1,1
Null-Ones (3 Suits),1,1
Dual-Color (3 Suits),1,1
Duck (3 Suits),6,0
Brown & Null (3 Suits),4,0
Omni & Muddy Rainbow (3 Suits),2,0
Rainbow & Omni (3 Suits),2,0
3 Suits,1,0
Pink & Null (3 Suits),1,0
Pink & White (3 Suits),1,0
Null & Muddy Rainbow (3 Suits),1,0
