Player,Score
piper,41.38543398817673
melwen,37.7611338765016
avanderwalde,37.51002928104515
TimeHoodie,34.88887545756475
Valetta6789,34.803750473197574
jack67889,34.43934917386076
Pablo-,34.406321385312644
Floriman,34.08771429173125
asaelr,34.0121375468318
MarkusKahlsen,33.939486232219025
derekcheah,33.59396705602558
kimbifille,33.22651636657136
pianoblook,33.17169755339585
Lel0uch,33.16872829645907
rkass,33.15354858581936
IAMJEFF,33.146536124267705
micerang,32.75133662156859
ADrone,32.69205391622498
Nitrate2,32.59904199930808
hakha3,32.540679194493904
Sucubis,31.713834880230962
TheDaniMan,31.642708962957855
ChristopheAF,31.071163547656894
scharkbite,31.046709082989896
Syrah,30.640734142796713
corys,30.27220733220899
sephiroth,30.15351928421467
Zakisan,30.122228913240143
dobi,30.033215612070585
Fireheart,29.816914868027954
Kyle,29.064015450166686
MangoPie,28.988846145368864
sjdrodge,28.977185698643027
Smandon,28.816241911408234
rz,28.787881057017128
Dr_Kakashi,28.72377284392655
wump,28.200527849233687
Fey,28.17065005073209
nitawa,28.057413634015187
Lanvin,27.8932584504893
Wittvector,27.418800993427098
Zamiel,27.192829911004793
NoMercy,26.960960754646422
Bonja97,26.619970765801206
kopen,26.334740429825665
timotree,26.201248067045615
swineherd,26.180504061009568
sin_faith,26.174017067286016
bjnh,25.944153233632523
fishcat,25.79218834112361
Libster,25.67199692047945
dj.narayanan,25.635857594385776
qqqq,25.524322687405192
willwin4sure,25.318484028107562
Nitrate,25.227693777854174
orucsoraihc,25.146778640493345
StKildaFan,25.064781194566194
Div,25.019262212407533
rachyrules,24.883532911969507
florrat2,24.769168252971202
wortel,24.49109787812784
anser,24.456070614706903
will.i.am,24.340521187914618
emilyzhao,24.21141274090822
sankala,23.880224050930227
possum,23.82802346874587
Livia,23.760812715753154
Daryl,23.590648777788527
ksfortson,22.696045112813643
Instantiation,22.500882525659986
Denchulitas,22.392491766151583
aquarelle,22.291449167758785
Pimak,22.194841135621566
jeff10,22.183864754486823
Animex52,22.155260173791927
wolfpack,22.036629143440848
HelanaAshryvr,22.0119031924897
dmigor3,21.91722645296507
katian,21.808105317008994
colton,21.51055826022098
indego,21.498827807253335
nkkarpov,21.443731845565477
Jake_Stiles,21.402891229617307
Razvogor,21.20115739758326
Bot-Fiora,21.108617658289404
cockdestroyer,21.006070576991274
eliclax,20.8664655613206
catula,20.812050819882238
VerySloppyTwo,20.770057606051175
padi,19.98986499977161
antitelharsic,19.938204959475236
squirrel1988,19.911636411147683
duckmammal,19.48943010035023
DarthGandalf,19.43877601147436
newduke,19.42057019242528
Durandal,19.040605579107048
Asddsa76,18.966254953061444
skyblueexo,18.8953389985014
invarse,18.872597043700075
methmatics,18.299013057675396
IsabeltheCat,18.011024375622323
Kernel,18.003366701423765
Damian000,17.869004270417427
boba,17.865038311574256
BlueNovember,17.475854782146104
MasN,17.34819714615685
Spieler42,16.759355619325557
MathNoob,16.698315360298274
vEnhance,16.217249866321666
rs1,16.05006132473344
duckmedic,15.336052703875989
Cynas,15.148607525542996
duckless,15.023423583169118
CaitlinSmith,14.468149595874953
RaKXeR,13.98929024613827
qwertyelmer,13.493372361509143
Aluap,12.944012279037327
FerKeth,11.31157510820109
duckington,9.747776814859122
HariKrishnan,8.600180963940835
Anax,6.376606652852584
