3 Suits,2,4,1
3 Suits,3,2,1
4 Suits,2,5,1
4 Suits,3,1,1
4 Suits,4,1,1
4 Suits,6,1,1
6 Suits,2,1,1
6 Suits,3,3,1
6 Suits,4,2,1
6 Suits,5,8,1
6 Suits,6,2,1
Black & Brown (5 Suits),2,8,1
Black & Brown (6 Suits),2,4,1
Black & Dark Rainbow (6 Suits),2,63,1
Black & Gray (6 Suits),2,282,1
Black & Light Pink (5 Suits),2,3,1
Black & Light Pink (6 Suits),2,42,1
Black & Muddy Rainbow (5 Suits),2,10,1
Black & Omni (5 Suits),2,21,1
Black & Omni (6 Suits),2,1,1
Black & Pink (5 Suits),2,9,1
Black & Pink (5 Suits),3,1,1
Black & Pink (6 Suits),2,16,1
Black & Prism (5 Suits),2,12,1
Black & Prism (6 Suits),2,7,1
Black & Rainbow (5 Suits),2,5,1
Black & Rainbow (6 Suits),2,11,1
Black & Rainbow (6 Suits),4,1,1
Black & Rainbow (6 Suits),6,2,1
Black & White (5 Suits),2,7,1
Black & White (6 Suits),2,11,1
Black (5 Suits),2,1,1
Black (5 Suits),3,20,1
Black (5 Suits),5,8,1
Black (6 Suits),2,7,1
Black (6 Suits),3,33,1
Black (6 Suits),4,11,1
Black (6 Suits),5,6,1
Brown & Gray (5 Suits),2,32,1
Brown & Gray (6 Suits),2,36,1
Brown & Light Pink (4 Suits),2,8,1
Brown & Muddy Rainbow (4 Suits),2,16,1
Brown & Prism (4 Suits),2,5,1
Brown & Prism (5 Suits),2,2,1
Brown & Prism (6 Suits),2,3,1
Brown (3 Suits),2,4,1
Brown (3 Suits),3,2,1
Brown (4 Suits),2,5,1
Brown (4 Suits),3,1,1
Brown (4 Suits),4,1,1
Brown (5 Suits),2,12,1
Brown (5 Suits),3,1,1
Brown (5 Suits),4,1,1
Brown (5 Suits),5,2,1
Brown (6 Suits),2,3,1
Brown (6 Suits),3,8,1
Brown (6 Suits),4,4,1
Brown (6 Suits),6,3,1
Cocoa Rainbow (5 Suits),2,3,1
Cocoa Rainbow (6 Suits),2,9,1
Dark Brown (5 Suits),2,6,1
Dark Brown (5 Suits),3,9,1
Dark Brown (6 Suits),2,33,1
Dark Brown (6 Suits),3,2,1
Dark Omni (5 Suits),2,2,1
Dark Omni (6 Suits),2,2,1
Dark Pink (5 Suits),2,1,1
Dark Pink (5 Suits),3,1,1
Dark Pink (5 Suits),6,1,1
Dark Pink (6 Suits),2,3,1
Dark Prism (5 Suits),2,4,1
Dark Prism (6 Suits),2,28,1
Dark Prism (6 Suits),3,2,1
Dark Rainbow (5 Suits),2,8,1
Dark Rainbow (5 Suits),4,1,1
Dark Rainbow (6 Suits),2,5,1
Deceptive-Fives (6 Suits),2,1,1
Deceptive-Ones (5 Suits),2,3,1
Dual-Color & White (6 Suits),2,1,1
Dual-Color (3 Suits),2,2,1
Dual-Color (5 Suits),2,5,1
Dual-Color (5 Suits),4,3,1
Dual-Color (6 Suits),2,3,1
Dual-Color (6 Suits),3,2,1
Dual-Color (6 Suits),5,1,1
Gray (5 Suits),2,4,1
Gray (5 Suits),3,6,1
Gray (5 Suits),4,1,1
Gray (6 Suits),2,34,1
Gray Pink (6 Suits),2,7,1
Light Pink (3 Suits),2,3,1
Light Pink (4 Suits),2,1,1
Light Pink (4 Suits),4,1,1
Light Pink (4 Suits),5,1,1
Light Pink (5 Suits),2,2,1
Light Pink (5 Suits),3,1,1
Light Pink (5 Suits),4,4,1
Light Pink (5 Suits),5,1,1
Light Pink (5 Suits),6,1,1
Light Pink (6 Suits),2,6,1
Light Pink (6 Suits),3,2,1
Light Pink (6 Suits),4,1,1
Light-Pink-Ones & Muddy Rainbow (6 Suits),5,1,1
Muddy Rainbow & Prism (5 Suits),2,9,1
Muddy Rainbow & Prism (5 Suits),4,1,1
Muddy Rainbow & Prism (6 Suits),2,13,1
Muddy Rainbow (3 Suits),2,7,1
Muddy Rainbow (4 Suits),2,1,1
Muddy Rainbow (5 Suits),2,1,1
Muddy Rainbow (5 Suits),3,1,1
Muddy Rainbow (5 Suits),4,1,1
Muddy Rainbow (5 Suits),5,1,1
Muddy Rainbow (6 Suits),2,1,1
Muddy Rainbow (6 Suits),3,1,1
Muddy-Rainbow-Fives & White (6 Suits),4,1,1
No Variant,2,23,1
No Variant,3,13,1
No Variant,4,1,1
No Variant,5,12,1
No Variant,6,12,1
Omni & Prism (4 Suits),2,5,1
Omni (3 Suits),2,4,1
Omni (4 Suits),2,1,1
Omni (4 Suits),3,3,1
Omni (4 Suits),4,2,1
Omni (5 Suits),2,2,1
Omni (5 Suits),3,3,1
Omni (5 Suits),4,6,1
Omni (6 Suits),2,2,1
Omni (6 Suits),3,1,1
Omni-Ones & Rainbow (3 Suits),2,5,1
Pink & Brown (3 Suits),2,5,1
Pink & Brown (4 Suits),2,5,1
Pink & Brown (5 Suits),2,9,1
Pink & Brown (6 Suits),2,6,1
Pink & Brown (6 Suits),3,1,1
Pink & Cocoa Rainbow (5 Suits),2,2,1
Pink & Gray (5 Suits),2,3,1
Pink & Muddy Rainbow (5 Suits),2,7,1
Pink & Muddy Rainbow (5 Suits),5,2,1
Pink & Omni (5 Suits),2,28,1
Pink & Omni (6 Suits),2,37,1
Pink & Omni (6 Suits),3,1,1
Pink & Prism (3 Suits),2,1,1
Pink & Prism (4 Suits),2,4,1
Pink & Prism (5 Suits),2,17,1
Pink & Prism (6 Suits),2,4,1
Pink & White (4 Suits),2,4,1
Pink & White (5 Suits),2,10,1
Pink & White (6 Suits),2,10,1
Pink & White (6 Suits),3,2,1
Pink (3 Suits),2,4,1
Pink (4 Suits),2,1,1
Pink (5 Suits),2,1,1
Pink (5 Suits),3,1,1
Pink (5 Suits),5,3,1
Pink (6 Suits),2,14,1
Pink (6 Suits),3,5,1
Pink (6 Suits),4,2,1
Pink (6 Suits),6,1,1
Prism (3 Suits),2,1,1
Prism (4 Suits),2,2,1
Prism (4 Suits),3,1,1
Prism (5 Suits),2,3,1
Prism (5 Suits),3,1,1
Prism (5 Suits),4,2,1
Prism (6 Suits),2,8,1
Prism (6 Suits),3,1,1
Prism (6 Suits),4,5,1
Prism (6 Suits),6,1,1
