3 Suits,2,2,1
3 Suits,3,10,1
3 Suits,4,3,1
4 Suits,2,3,1
4 Suits,3,13,1
4 Suits,4,1,1
4 Suits,5,15,1
6 Suits,3,4,1
6 Suits,4,4,1
6 Suits,5,4,1
6 Suits,6,1,1
Alternating Clues & Light Pink (6 Suits),3,2,1
Alternating Clues & Pink (4 Suits),3,1,1
Ambiguous & Brown (5 Suits),4,1,1
Ambiguous & Dark Brown (5 Suits),3,3,1
Ambiguous & Dual-Color,3,1,1
Ambiguous (4 Suits),2,1,1
Ambiguous (6 Suits),6,2,1
Black & Brown (6 Suits),5,9,1
Black & Light Pink (5 Suits),4,4,1
Black & Omni (6 Suits),4,1,1
Black & Pink (5 Suits),3,1,1
Black & Pink (6 Suits),3,2,1
Black & Prism (6 Suits),4,2,1
Black & Rainbow (6 Suits),4,2,1
Black & White (5 Suits),3,2,1
Black (5 Suits),2,5,1
Black (5 Suits),3,43,1
Black (5 Suits),4,6,1
Black (6 Suits),3,1,1
Black (6 Suits),5,22,1
Brown & Muddy Rainbow (5 Suits),4,8,1
Brown & Muddy Rainbow (6 Suits),4,2,1
Brown & Null (5 Suits),6,2,1
Brown (3 Suits),3,6,1
Brown (3 Suits),4,2,1
Brown (4 Suits),4,3,1
Brown (5 Suits),3,11,1
Brown (5 Suits),4,3,1
Brown (5 Suits),5,3,1
Brown (6 Suits),3,7,1
Brown (6 Suits),4,1,1
Brown (6 Suits),5,2,1
Brown-Fives & Gray Pink (6 Suits),4,1,1
Brown-Ones & Brown (4 Suits),5,1,1
Brown-Ones & Cocoa Rainbow (5 Suits),3,2,1
Clue Starved & Brown (6 Suits),4,2,1
Clue Starved & Prism (6 Suits),4,1,1
Cocoa Rainbow (5 Suits),3,5,1
Cocoa Rainbow (5 Suits),4,2,1
Cocoa Rainbow (6 Suits),6,1,1
Dark Brown (5 Suits),4,3,1
Dark Brown (6 Suits),4,12,1
Dark Omni (5 Suits),3,4,1
Dark Pink (5 Suits),3,4,1
Dark Pink (5 Suits),4,10,1
Dark Pink (6 Suits),3,12,1
Dark Pink (6 Suits),4,3,1
Dark Prism (5 Suits),3,11,1
Dark Prism (6 Suits),5,5,1
Dark Rainbow (5 Suits),2,1,1
Dark Rainbow (6 Suits),4,7,1
Deceptive-Ones (5 Suits),3,3,1
Dual-Color (3 Suits),4,2,1
Dual-Color (5 Suits),4,2,1
Dual-Color (6 Suits),4,1,1
Dual-Color Mix,3,6,1
Duck (4 Suits),4,1,1
Duck (5 Suits),2,3,1
Gray (5 Suits),2,4,1
Gray (6 Suits),5,3,1
Gray Pink (5 Suits),2,4,1
Gray Pink (6 Suits),5,2,1
Light Pink (3 Suits),2,1,1
Light Pink (3 Suits),3,9,1
Light Pink (4 Suits),3,1,1
Light Pink (4 Suits),4,3,1
