3 Suits,2,1,1
6 Suits,2,17,1
6 Suits,4,1,1
Black & Rainbow (6 Suits),3,3,1
Black (6 Suits),4,2,1
Brown (3 Suits),3,1,1
Brown (6 Suits),3,2,1
Dark Rainbow (5 Suits),4,2,1
Dual-Color (5 Suits),5,2,1
Dual-Color (6 Suits),4,1,1
Dual-Color (6 Suits),5,1,1
Gray Pink (5 Suits),3,1,1
Light Pink (5 Suits),3,1,1
Muddy Rainbow (4 Suits),4,1,1
No Variant,2,1,1
No Variant,3,2,1
No Variant,4,2,1
No Variant,5,6,1
Null (5 Suits),3,3,1
Pink (6 Suits),2,9,1
Rainbow & White (4 Suits),4,2,1
Rainbow (3 Suits),4,3,1
Rainbow (4 Suits),4,3,1
Rainbow (6 Suits),3,6,1
Rainbow (6 Suits),4,2,1
Rainbow (6 Suits),5,12,1
Rainbow-Fives & Pink (4 Suits),3,1,1
Throw It in a Hole (5 Suits),5,2,1
Up or Down & Brown (5 Suits),4,2,1
Up or Down (5 Suits),4,4,1
White (5 Suits),4,2,1
White (5 Suits),6,1,1
White (6 Suits),4,2,1
White-Ones & Brown (5 Suits),4,2,1
White-Ones & Brown (6 Suits),3,2,1
White-Ones (5 Suits),3,3,1
